|Country|Channel Name|Category|Main Video Category|username|followers|Main topic|More topics|Likes|Boost Index|Engagement Rate|Engagement Rate 60days|Views|Views Avg.|Avg. 1 Day|Avg. 3 Day|Avg. 7 Day|Avg. 14 Day|Avg. 30 day|Avg. 60 day|Comments Avg|Youtube Link
502|US|BRIGHT SIDE|Science & Tech|Howto & Style|BRIGHT SIDE|43700000|Lifestyle|Entertainment,Lifestyle,Movies|36932146.776236586|68|0.0114371937629994|0.0022514362128582|9969944772|395681.02124505927|31853.0|50485.57142857143|50726.31578947369|53092.58536585366|64779.45555555556|89134.58192090396|950.0900287882752|UC4rlAVgAK0SGk-yTfe48Qpw
181|US|Marshmello|Music|Music|Marshmello|55500000|Electronic music|Music,Hip hop music,Pop music,Electronic music|51156331.514925376|73|0.1114473013984133|0.0054349074223477|13279526225|2716910.5||||85746.0|162863.5|167606.5|5497.365671641791|UCEdvpU2pFRCVqU6yIPyTpMQ
496|US|Billie Eilish|Gaming & Apps|Music|Billie Eilish|45900000|Music|Independent music,Music,Pop music|37371320.82142857|16|0.5631284655446878|0.0185098377684407|11810491835|18540721.25|0.0|0.0|0.0|0.0|0.0|0.0|37181.53571428572|UCiGm_E4ZwYSHV3bcW1pnSeQ
495|US|JuegaGerman|Gaming & Apps|Gaming|JuegaGerman|45900000|Gaming|Gaming,Action game,Action-adventure game,Entertainment|641782272.754717|82|0.0953030218191668|0.0653533534168384|13594315965|5479511.75|||3191661.6666666665|2530465.1428571427|2008041.5714285716|2644449.714285714|25812.18867924528|UCYiGq8XF7YQD00x7wAd62Zg
492|US|LooLoo Kids - Nursery Rhymes and Children's Songs|Music|Music|LooLoo Kids - Nursery Rhymes and Children's Songs|49400000|Entertainment|Music,Movies,Entertainment|25323367.15286624|66|0.2328456655820742|0.0197116458908171|28700714072|18526700.5||62846.0|206363.5|176466.625|371785.1363636364|927003.6|29.627388535031848|UC4NALVCmcmL5ntpV0thoH6w
192|US|LooLoo Kids - Nursery Rhymes and Children's Songs|Music|Music|LooLoo Kids - Nursery Rhymes and Children's Songs|49400000|Entertainment|Music,Movies,Entertainment|25323367.15286624|66|0.2328456655820742|0.0197116458908171|28700714072|18526700.5||62846.0|206363.5|176466.625|371785.1363636364|927003.6|29.627388535031848|UC4NALVCmcmL5ntpV0thoH6w
481|US|Marshmello|Music|Music|Marshmello|55500000|Electronic music|Music,Hip hop music,Pop music,Electronic music|51156331.514925376|73|0.1114473013984133|0.0054349074223477|13279526225|2716910.5||||85746.0|162863.5|167606.5|5497.365671641791|UCEdvpU2pFRCVqU6yIPyTpMQ
479|US|Movieclips|Gaming & Apps|Film & Animation|Movieclips|57300000|Movies|Entertainment,Movies|39953044.14992679|72|0.0026005667886373|0.002025743307597|58434633172|81556.0713562753|2206.2|2206.2|8792.666666666666|35615.544117647056|86779.78205128205|114986.92063492064|65.46459463421786|UC3gNmTGu-TTbFPpfSs5kNkg
478|US|Dude Perfect|Gaming & Apps|Sports|Dude Perfect|57800000|Lifestyle|Lifestyle|244293352.89626557|82|0.9034190270499216|0.4385109202142169|14560770809|62768767.25|||7017878.0|7017878.0|33821451.666666664|24476021.4|36144.07883817428|UCRijo3ddMTht_IHyNSNXpNQ
477|US|Pinkfong Baby Shark - Kids' Songs & Stories|Music|Education|Pinkfong Baby Shark - Kids' Songs & Stories|58700000|Music|Entertainment,Music,Movies|17219955.003514938|67|0.0347361655253584|0.0160457960718309|31514954950|1353212.7272727273|8062.0|91807.25|152501.88888888888|188689.0625|903627.5|934502.1898734176|5.00439367311072|UCcdwLMPsaU2ezNSJU1nFoBQ
195|US|JuegaGerman|Gaming & Apps|Gaming|JuegaGerman|45900000|Gaming|Gaming,Action game,Action-adventure game,Entertainment|641782272.754717|82|0.0953030218191668|0.0653533534168384|13594315965|5479511.75|||3191661.6666666665|2530465.1428571427|2008041.5714285716|2644449.714285714|25812.18867924528|UCYiGq8XF7YQD00x7wAd62Zg
196|US|Billie Eilish|Gaming & Apps|Music|Billie Eilish|45900000|Music|Independent music,Music,Pop music|37371320.82142857|16|0.5631284655446878|0.0185098377684407|11810491835|18540721.25|0.0|0.0|0.0|0.0|0.0|0.0|37181.53571428572|UCiGm_E4ZwYSHV3bcW1pnSeQ
516|US|Little Baby Bum - Nursery Rhymes & Kids Songs|Music|Education|Little Baby Bum - Nursery Rhymes & Kids Songs|39200000|Entertainment|Entertainment,Music,Movies|5749294.193817878|78|0.0221789286992992|0.0184218931971802|36748994170|792125.3333333333|25032.5|69746.75|268456.05|410841.6341463415|426330.2878787879|719102.0495867769|11.811194653299916|UCKAqou7V9FAWXpZd9xtOg3Q
